"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Domingo Santana","Indians","1","1","3","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0",".000","10348"
"Mychal Givens","Orioles","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10430"
"Cesar Hernandez","Indians","1","4","5","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".000","10556"
"Giovanny Urshela","Yankees","1","3","4","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0",".000","10681"
"Trevor Rosenthal","Royals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10745"
"Shane Greene","Braves","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10756"
"Adam Kolarek","Dodgers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10843"
"Kevin Kiermaier","Rays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",".000","11038"
"Kole Calhoun","Diamondbacks","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11200"
"Whit Merrifield","Royals","1","4","5","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0",".000","11281"
"Drew Pomeranz","Padres","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11426"
"Brandon Workman","Red Sox","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11428"
"Gary Sanchez","Yankees","1","3","4","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0",".000","11442"
"Robbie Ray","Diamondbacks","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11486"
"Brandon Drury","Blue Jays","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11615"
"Heath Hembree","Red Sox","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11632"
"Luke Jackson","Braves","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11752"
"Hansel Robles","Angels","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11801"
"Niko Goodrum","Tigers","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12092"
"Nick Ahmed","Diamondbacks","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12147"
"Eddie Rosario","Twins","1","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","12155"
"Miguel Sano","Twins","1","3","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","12164"
"Maikel Franco","Royals","1","5","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","12179"
"Kevin Pillar","Red Sox","1","4","5","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","12434"
"C.J. Cron","Tigers","1","3","4","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","12546"
"Ryne Harper","Nationals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12680"
"Anthony Rendon","Angels","1","3","4","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".000","12861"
"Matt Barnes","Red Sox","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12863"
"Dylan Bundy","Angels","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12917"
"Austin Hedges","Padres","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0",".000","12976"
"Michael Perez","Rays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12977"
"Yoenis Cespedes","Mets","1","3","4","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".000","13110"
"Jorge Polanco","Twins","1","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","13152"
"Mike Zunino","Rays","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","13265"
"Ross Stripling","Dodgers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13273"
"Ildemaro Vargas","Diamondbacks","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13324"
"Jake Lamb","Diamondbacks","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13329"
"Hoby Milner","Angels","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13346"
"Steven Matz","Mets","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13361"
"Felix Pena","Angels","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13403"
"Pierce Johnson","Padres","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13435"
"Dwight Smith Jr.","Orioles","1","3","4","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","13473"
"Carl Edwards Jr.","Mariners","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13607"
"Mallex Smith","Mariners","1","2","4","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0",".000","13608"
"Jeimer Candelario","Tigers","1","4","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","13621"
"Max Fried","Braves","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13743"
"Chris Taylor","Dodgers","1","3","4","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".000","13757"
"Joey Wendle","Rays","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13853"
"Paul Sewald","Mets","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","13892"
"Tyler Heineman","Giants","1","4","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",".000","13897"
"Kevin Gausman","Giants","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14107"
"Jose Berrios","Twins","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14168"
"Andrew Velazquez","Orioles","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14196"
"Wandy Peralta","Giants","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14295"
"Hyun-Jin Ryu","Blue Jays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14444"
"Renato Nunez","Orioles","1","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","14503"
"Anthony Santander","Orioles","1","3","4","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0",".000","14551"
"Luis Perdomo","Padres","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14682"
"Harold Castro","Tigers","1","3","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","14691"
"Edwin Diaz","Mets","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14710"
"Brett Phillips","Royals","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","14735"
"Emilio Pagan","Padres","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","14771"
"Pat Valaika","Orioles","1","3","4","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".000","14885"
"Johan Camargo","Braves","1","2","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0",".000","14950"
"Tim Locastro","Diamondbacks","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","15124"
"Jake Newberry","Royals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15136"
"Mitch Garver","Twins","1","3","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","15161"
"Ryan Cordell","Mets","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",".000","15181"
"Cole Sulser","Orioles","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15256"
"Mike Tauchman","Yankees","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15274"
"Hunter Renfroe","Rays","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","15464"
"Marco Gonzales","Mariners","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15467"
"Victor Reyes","Tigers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15487"
"Amed Rosario","Mets","1","5","5","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".000","15518"
"Tyler Rogers","Giants","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15541"
"Reese McGuire","Blue Jays","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15674"
"Miguel Castro","Orioles","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15684"
"Tyler Wade","Yankees","1","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","15730"
"Zack Littell","Twins","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15823"
"Lewis Thorpe","Twins","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","15906"
"Cody Bellinger","Dodgers","1","5","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","15998"
"Stefan Crichton","Diamondbacks","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16058"
"Derek Fisher","Blue Jays","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16192"
"Trea Turner","Nationals","1","4","5","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0",".000","16252"
"John Means","Orioles","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16269"
"Oscar Mercado","Indians","1","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","16375"
"Michael Conforto","Mets","1","3","4","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","1",".000","16376"
"Francisco Mejia","Padres","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","16403"
"Jordan Luplow","Indians","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".000","16424"
"Ryan Yarbrough","Rays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16502"
"Dan Altavilla","Mariners","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16507"
"Ryan McBroom","Royals","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16524"
"Mauricio Dubon","Giants","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16530"
"Danny Jansen","Blue Jays","1","2","4","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0",".000","16535"
"Ozzie Albies","Braves","1","3","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","16556"
"Yandy Diaz","Rays","1","3","4","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".000","16578"
"Greg Allen","Indians","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","16623"
"Gleyber Torres","Yankees","1","1","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0",".000","16997"
"Yoan Lopez","Diamondbacks","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17181"
"Dinelson Lamet","Padres","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17186"
"Jalen Beeks","Rays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17192"
"Sam Coonrod","Giants","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17264"
"Rafael Devers","Red Sox","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","17350"
"Erick Fedde","Nationals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17425"
"Taylor Ward","Angels","1","3","4","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".000","17548"
"Tanner Rainey","Nationals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17610"
"Tyler Alexander","Tigers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17735"
"Drew Smith","Mets","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17755"
"Andrew Benintendi","Red Sox","1","2","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0",".000","17901"
"Cedric Mullins II","Orioles","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","17929"
"Andrew Stevenson","Nationals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",".000","17932"
"David Fletcher","Angels","1","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","17992"
"Carson Fulmer","Tigers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","18311"
"Jacob Waguespack","Blue Jays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","18318"
"Alex Young","Diamondbacks","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","18333"
"Austin Riley","Braves","1","2","3","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0",".000","18360"
"Ronald Acuna Jr.","Braves","1","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","18401"
"Travis Lakins","Orioles","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","18600"
"Kyle Keller","Angels","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","18890"
"Will Smith","Dodgers","1","2","4","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0",".000","19197"
"Caleb Baragar","Giants","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19231"
"Pete Alonso","Mets","1","3","5","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0",".000","19251"
"Thomas Hatch","Blue Jays","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19264"
"Shane Bieber","Indians","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19427"
"Kyle Funkhouser","Tigers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19456"
"David Bednar","Padres","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19569"
"Nick Heath","Royals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19577"
"Vladimir Guerrero Jr.","Blue Jays","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".000","19611"
"Edward Olivares","Padres","1","5","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0",".000","19698"
"Jonathan Loaisiga","Yankees","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19753"
"Luis Rengifo","Angels","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","19858"
"Daulton Varsho","Diamondbacks","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","19918"
"Andres Gimenez","Mets","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",".000","19950"
"Rico Garcia","Giants","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","20023"
"Evan White","Mariners","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","20078"
"James Karinchak","Indians","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","20151"
"Jonathan Arauz","Red Sox","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","20275"
"Brusdar Graterol","Dodgers","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","20367"
"Brady Singer","Royals","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","25377"
"Yoshitomo Tsutsugo","Rays","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","27459"
