"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Adam Ottavino","Yankees","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","1247"
"Zack Britton","Yankees","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","3240"
"Matt Magill","Mariners","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","3950"
"Mark Melancon","Braves","0","0","0.00","1","0","0","0","1","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","4264"
"Jeurys Familia","Mets","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","5114"
"Pedro Baez","Dodgers","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","5420"
"Junior Guerra","Diamondbacks","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","1","0","0","0","0","0","5702"
"Sam Freeman","Nationals","0","0","0.00","1","0","0","0","0","1","0","0.2","3","1","0","0","0","0","0","0","0","0","1","6832"
"Daniel Hudson","Nationals","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","7146"
"Greg Holland","Royals","1","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","7196"
"Richard Bleier","Orioles","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","2","7803"
"Joe Kelly","Dodgers","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","9761"
"Mychal Givens","Orioles","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","0","0","0","0","2","10430"
"Trevor Rosenthal","Royals","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","10745"
"Shane Greene","Braves","0","0","0.00","1","0","0","0","0","1","0","0.1","1","0","0","0","0","0","0","0","0","0","0","10756"
"Adam Kolarek","Dodgers","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","1","10843"
"Drew Pomeranz","Padres","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","0","0","1","11426"
"Brandon Workman","Red Sox","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","11428"
"Heath Hembree","Red Sox","0","0","0.00","1","0","0","0","0","1","0","1.1","5","1","0","0","0","0","0","0","0","0","2","11632"
"Luke Jackson","Braves","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","0","0","1","11752"
"Ryne Harper","Nationals","1","0","0.00","1","0","0","0","0","0","0","1.2","5","1","0","0","0","0","0","0","0","0","1","12680"
"Matt Barnes","Red Sox","0","0","0.00","1","0","0","0","0","1","0","1.0","6","1","0","0","0","1","0","1","0","0","1","12863"
"Hoby Milner","Angels","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","1","13346"
"Felix Pena","Angels","0","0","0.00","1","0","0","0","0","0","0","1.1","6","2","0","0","0","1","0","0","0","0","1","13403"
"Pierce Johnson","Padres","1","0","0.00","1","0","0","0","0","0","0","1.1","5","1","0","0","0","0","0","0","0","0","1","13435"
"Carl Edwards Jr.","Mariners","0","0","0.00","1","0","0","0","0","1","0","0.2","2","0","0","0","0","0","0","0","1","0","1","13607"
"Paul Sewald","Mets","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","1","13892"
"Wandy Peralta","Giants","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","14295"
"Jake Newberry","Royals","0","0","0.00","1","0","0","0","0","1","0","0.2","3","0","0","0","0","1","0","0","0","0","1","15136"
"Marco Gonzales","Mariners","1","0","0.00","1","1","0","0","0","0","0","6.1","23","3","2","0","1","1","0","0","0","0","6","15467"
"Miguel Castro","Orioles","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","15684"
"Zack Littell","Twins","0","0","0.00","1","0","0","0","0","0","0","2.0","9","2","0","0","0","3","0","0","1","0","0","15823"
"Lewis Thorpe","Twins","0","0","0.00","1","0","0","0","0","0","0","2.0","7","2","0","0","0","0","0","0","0","0","1","15906"
"Stefan Crichton","Diamondbacks","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","0","16058"
"Yoan Lopez","Diamondbacks","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","17181"
"Jalen Beeks","Rays","0","0","0.00","1","0","0","0","0","0","0","1.2","8","1","0","0","0","2","0","0","0","0","2","17192"
"Tyler Alexander","Tigers","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","17735"
"Drew Smith","Mets","0","0","0.00","1","0","0","0","0","0","0","1.2","5","0","0","0","0","0","0","0","0","0","2","17755"
"Jacob Waguespack","Blue Jays","0","0","0.00","1","0","0","0","0","0","0","1.2","5","0","0","0","0","0","0","0","0","0","2","18318"
"Travis Lakins","Orioles","0","0","0.00","1","0","0","0","0","0","0","2.2","11","3","0","0","0","0","0","1","0","0","3","18600"
"Thomas Hatch","Blue Jays","0","0","0.00","1","0","0","0","0","0","0","2.2","9","1","0","0","0","1","0","0","0","0","1","19264"
"Shane Bieber","Indians","1","0","0.00","1","1","0","0","0","0","0","8.0","27","3","0","0","0","0","0","0","0","0","13","19427"
"Kyle Funkhouser","Tigers","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","19456"
"David Bednar","Padres","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","1","0","0","0","0","0","0","0","1","19569"
"Rico Garcia","Giants","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","20023"
"James Karinchak","Indians","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","20151"
"Brusdar Graterol","Dodgers","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","20367"
"Max Fried","Braves","1","0","1.35","1","1","0","0","0","0","0","6.2","23","3","1","1","0","1","0","0","0","0","7","13743"
"Dinelson Lamet","Padres","0","0","1.80","1","1","0","0","0","0","0","5.0","24","4","1","1","0","4","0","1","0","0","7","17186"
"Ryan Yarbrough","Rays","0","1","2.84","1","1","0","0","0","0","0","6.1","25","2","2","2","0","3","1","2","0","0","6","16502"
"Ivan Nova","Tigers","0","0","3.18","1","1","0","0","0","0","0","5.2","25","8","2","2","0","0","0","0","0","0","3","1994"
"Martin Perez","Red Sox","1","0","3.18","1","1","0","0","0","0","0","5.2","23","2","2","2","0","4","0","1","0","0","5","6902"
"Jose Berrios","Twins","0","1","3.60","1","1","0","0","0","0","0","5.0","21","3","2","2","1","2","0","1","1","0","6","14168"
"Brady Singer","Royals","0","0","3.60","1","1","0","0","0","0","0","5.0","20","5","2","2","2","2","0","0","0","0","3","25377"
"Dylan Bundy","Angels","0","1","4.50","1","1","0","0","0","0","0","6.0","24","4","3","3","1","2","0","0","0","0","8","12917"
"Ross Stripling","Dodgers","1","0","5.06","1","1","0","0","0","0","0","5.1","23","4","3","3","1","2","0","1","0","0","2","13273"
"Steven Matz","Mets","0","1","5.06","1","1","0","0","0","0","0","5.1","24","8","3","3","2","2","0","0","0","0","3","13361"
"Erick Fedde","Nationals","0","0","5.40","1","1","0","0","0","0","0","3.1","17","6","2","2","1","2","0","0","0","0","0","17425"
"Jonathan Loaisiga","Yankees","1","0","6.00","1","0","0","0","0","0","1","3.0","12","1","2","2","1","2","0","1","0","0","4","19753"
"Kevin Gausman","Giants","0","0","6.23","1","1","0","0","0","0","0","4.1","19","6","3","3","0","0","0","0","1","0","8","14107"
"Ian Kennedy","Royals","0","0","6.75","1","0","0","0","0","1","0","1.1","5","1","1","1","1","0","0","0","0","0","2","6986"
"Javy Guerra","Nationals","0","0","6.75","1","0","0","0","0","1","0","1.1","5","1","1","1","1","0","0","0","0","0","2","7407"
"Alex Young","Diamondbacks","0","0","6.75","1","0","0","0","0","0","0","1.1","6","1","1","1","1","1","0","0","0","0","2","18333"
"Jose Cisnero","Tigers","0","1","9.00","1","0","0","0","0","0","0","1.0","5","1","1","1","0","0","0","1","0","0","2","6399"
"J.A. Happ","Yankees","0","0","9.00","1","1","0","0","0","0","0","4.0","18","4","4","4","2","2","0","0","0","0","2","7410"
"Sam Coonrod","Giants","0","0","9.00","1","0","0","0","0","0","0","1.0","5","1","1","1","0","1","0","0","0","0","0","17264"
"Tanner Rainey","Nationals","0","0","9.00","1","0","0","0","0","1","0","1.0","4","1","1","1","1","0","0","0","0","0","0","17610"
"Robbie Ray","Diamondbacks","0","1","9.64","1","1","0","0","0","0","0","4.2","25","5","5","5","2","6","0","0","1","0","4","11486"
"Hyun-Jin Ryu","Blue Jays","0","1","10.38","1","1","0","0","0","0","0","4.1","23","9","5","5","1","1","0","0","0","0","5","14444"
"Caleb Baragar","Giants","0","0","10.80","1","0","0","0","0","0","0","1.2","8","3","2","2","1","0","0","0","0","0","2","19231"
"Kyle Keller","Angels","0","0","13.50","1","0","0","0","0","0","0","0.2","4","2","1","1","0","0","0","0","0","0","1","18890"
"Carson Fulmer","Tigers","0","0","18.00","1","0","0","0","0","0","0","1.0","6","3","2","2","0","0","0","0","0","0","1","18311"
"John Means","Orioles","0","0","19.29","1","1","0","0","0","0","0","2.1","12","2","5","5","1","1","0","2","0","0","2","16269"
"Luis Perdomo","Padres","0","0","27.00","1","0","0","0","0","0","0","1.0","7","2","3","3","0","2","0","0","0","0","1","14682"
"Cole Sulser","Orioles","0","1","27.00","1","0","0","0","0","0","1","1.0","6","2","3","3","1","1","0","0","0","0","0","15256"
"Dan Altavilla","Mariners","0","0","27.00","1","0","0","0","0","0","0","1.0","6","2","3","3","1","1","0","0","0","0","1","16507"
"Wilmer Font","Blue Jays","0","0","27.00","1","0","0","0","0","0","0","0.1","4","3","1","1","0","0","0","0","0","0","0","5257"
"Edwin Diaz","Mets","0","0","27.00","1","0","0","0","0","0","0","0.1","5","1","1","1","0","2","0","1","0","0","1","14710"
"Emilio Pagan","Padres","0","0","27.00","1","0","0","0","0","0","1","0.2","5","2","2","2","0","1","0","0","0","0","1","14771"
"Tyler Rogers","Giants","0","1","45.00","1","0","0","0","0","0","0","1.0","9","3","6","5","0","1","0","1","0","0","2","15541"
"Hansel Robles","Angels","0","0","108.00","1","0","0","0","0","0","0","0.1","5","2","4","4","1","2","0","0","0","0","0","11801"
